Age,Overall,Wage,Agility,Stamina,Penalties
24,75,€64K,59,57,81
37,75,€7K,70,68,78
28,75,€29K,76,71,69
19,75,€19K,67,76,33
19,75,€26K,71,74,70
27,75,€14K,74,68,67
25,75,€24K,72,55,69
33,75,€20K,54,67,66
25,75,€14K,83,81,74
25,75,€19K,57,73,35
34,75,€24K,60,61,66
28,75,€25K,69,82,68
33,75,€16K,69,67,80
32,75,€13K,66,73,47
33,75,€17K,57,65,87
33,75,€9K,63,72,71
31,75,€1K,57,74,47
24,75,€10K,49,66,40
30,75,€22K,47,52,71
25,75,€10K,74,62,69
29,75,€25K,69,75,59
25,75,€19K,70,79,53
28,75,€10K,83,85,66
21,75,€16K,74,78,44
24,75,€13K,53,73,24
26,75,€8K,64,83,49
26,75,€20K,72,90,41
21,75,€41K,81,82,64
32,75,€14K,78,75,84
24,75,€33K,81,65,65
27,75,€11K,60,47,71
23,75,€1K,46,85,45
28,75,€24K,78,64,48
28,75,€15K,83,83,49
28,75,€38K,75,86,69
25,75,€23K,55,42,42
24,75,€26K,69,62,80
37,75,€12K,64,25,21
27,75,€1K,91,68,65
29,75,€22K,78,71,76
32,75,€ 0,71,77,49
29,75,€48K,90,85,80
25,75,€30K,79,73,67
29,74,€18K,65,68,61
27,74,€35K,65,62,65
22,74,€10K,72,77,61
22,74,€35K,82,66,60
34,74,€13K,55,61,61
29,74,€18K,55,63,37
26,74,€43K,72,78,62
31,74,€12K,84,79,65
28,74,€10K,81,86,44
27,74,€17K,32,60,73
27,74,€1K,63,74,69
31,74,€15K,61,71,66
28,74,€ 0,49,50,45
35,74,€7K,71,61,76
23,74,€22K,65,82,57
29,74,€22K,73,81,85
25,74,€22K,55,37,21
36,74,€9K,76,68,50
21,74,€17K,64,65,51
34,74,€20K,43,30,23
32,74,€1K,63,72,75
27,74,€8K,47,80,41
24,74,€16K,84,79,62
24,74,€1K,90,75,59
32,74,€6K,42,32,19
28,74,€39K,92,86,56
20,74,€28K,40,79,34
36,74,€23K,36,42,11
26,74,€34K,57,72,34
30,74,€22K,68,77,70
22,74,€41K,61,74,61
29,74,€18K,72,67,52
28,74,€30K,70,60,73
24,74,€14K,33,69,37
26,74,€13K,83,66,65
29,74,€15K,61,67,70
30,74,€1K,40,60,46
24,74,€28K,68,75,50
25,74,€13K,62,75,54
28,74,€44K,85,58,68
26,74,€15K,60,70,64
28,74,€22K,54,77,64
27,74,€13K,57,70,73
24,74,€38K,83,67,59
29,74,€21K,62,78,62
24,74,€9K,74,78,55
24,74,€30K,71,78,46
30,74,€46K,88,81,63
27,74,€1K,43,31,23
20,74,€18K,54,76,72
27,74,€7K,66,77,59
25,74,€11K,68,77,48
27,74,€1K,47,84,46
21,74,€60K,90,60,62
27,74,€41K,62,74,37
23,74,€22K,64,61,52
24,74,€17K,59,79,46
30,74,€18K,84,92,46
34,74,€19K,76,67,73
27,74,€39K,68,69,70
30,74,€21K,66,81,51
26,74,€39K,88,68,73
22,74,€38K,64,76,40
35,74,€34K,58,18,37
34,74,€11K,40,38,23
23,74,€8K,88,78,46
23,74,€21K,73,76,54
26,74,€39K,70,91,55
25,74,€9K,79,92,52
27,74,€18K,70,86,38
32,74,€25K,59,30,34
31,74,€49K,77,72,80
24,74,€1K,48,70,36
29,74,€1K,68,77,59
24,74,€32K,42,56,34
34,74,€21K,66,74,72
27,74,€9K,73,76,47
28,74,€33K,81,72,61
25,74,€26K,67,76,59
25,74,€37K,75,62,66
21,74,€55K,73,75,54
20,74,€10K,67,80,67
28,74,€44K,64,65,70
31,74,€7K,48,87,45
30,74,€22K,64,81,51
27,74,€46K,79,72,68
32,74,€1K,63,81,69
33,74,€12K,61,30,10
23,74,€20K,60,72,62
24,74,€12K,83,66,75
21,74,€26K,74,76,46
27,74,€35K,70,79,44
33,74,€8K,37,79,33
31,74,€26K,71,69,42
25,74,€38K,83,75,63
25,74,€35K,72,78,29
28,74,€8K,88,82,70
24,74,€34K,90,76,56
25,74,€7K,81,83,33
32,74,€34K,56,79,75
27,74,€20K,82,62,63
31,74,€26K,82,84,66
31,74,€7K,69,80,61
27,74,€29K,71,66,65
25,74,€26K,59,78,20
33,74,€7K,56,72,59
22,74,€22K,73,69,49
30,74,€18K,47,66,65
31,74,€40K,89,78,44
30,74,€8K,40,32,24
33,74,€13K,66,40,21
27,74,€15K,85,65,59
27,74,€18K,79,88,64
25,74,€9K,77,71,56
26,74,€18K,72,82,62
32,74,€7K,75,86,62
34,74,€1K,62,69,47
25,74,€58K,73,69,48
32,74,€29K,61,68,30
31,74,€26K,87,77,70
34,74,€14K,43,59,48
25,74,€46K,48,74,60
30,74,€13K,80,77,67
26,74,€19K,71,75,35
28,74,€ 0,80,80,61
26,74,€18K,33,61,48
20,74,€29K,69,71,73
21,74,€6K,89,76,55
34,74,€25K,78,68,72
24,74,€22K,72,78,59
21,74,€24K,43,55,44
30,74,€17K,48,41,18
28,74,€22K,40,55,46
29,74,€19K,77,85,72
26,74,€9K,64,83,36
28,74,€15K,94,69,49
30,74,€22K,77,75,63
28,74,€8K,56,82,34
34,74,€24K,75,75,64
24,74,€20K,54,53,32
23,74,€8K,56,72,44
30,74,€14K,64,41,75
29,74,€18K,69,58,74
21,74,€30K,74,71,69
24,74,€18K,75,85,76
20,74,€16K,93,64,49
20,74,€18K,71,75,39
31,74,€24K,49,63,83
32,74,€19K,76,78,78
27,74,€19K,65,77,61
23,74,€17K,65,69,50
30,74,€18K,70,59,70
32,74,€5K,52,56,36
27,74,€9K,67,71,70
26,74,€22K,69,56,44
27,74,€27K,67,79,65
35,74,€6K,59,75,53
39,74,€18K,65,50,81
31,74,€13K,71,85,70
31,74,€7K,52,66,33
30,74,€9K,76,84,49
29,74,€8K,65,91,64
20,74,€53K,73,70,48
21,74,€36K,90,69,50
26,74,€11K,43,35,27
19,74,€5K,52,73,38
27,74,€10K,78,74,58
29,74,€22K,65,77,34
24,74,€44K,90,62,60
22,74,€38K,78,78,43
34,74,€19K,67,66,65
34,74,€25K,86,68,68
25,74,€25K,76,79,50
25,74,€1K,53,54,79
34,74,€13K,72,66,71
36,74,€5K,64,65,57
35,74,€4K,74,65,70
25,74,€39K,71,72,64
24,74,€16K,74,75,64
34,74,€13K,71,72,65
26,74,€13K,67,75,63
24,74,€21K,70,68,49
34,74,€15K,66,71,66
26,74,€40K,78,55,69
24,74,€22K,89,77,61
24,74,€23K,89,68,65
27,74,€17K,73,82,68
22,74,€1K,74,87,68
32,74,€39K,49,43,54
32,74,€17K,78,67,73
35,74,€5K,66,69,59
24,74,€ 0,79,74,69
29,74,€11K,60,66,51
26,74,€14K,61,83,73
29,74,€16K,79,73,63
23,74,€30K,74,77,39
34,74,€14K,81,82,71
32,74,€22K,56,78,73
26,74,€25K,67,60,76
31,74,€8K,60,38,22
26,74,€15K,81,59,72
20,74,€26K,69,72,30
30,74,€5K,73,85,65
23,74,€21K,89,89,60
23,74,€28K,78,76,42
30,74,€35K,67,69,40
28,74,€1K,78,82,50
24,74,€20K,67,65,69
25,74,€9K,62,72,70
34,74,€32K,67,67,87
26,74,€27K,69,61,77
23,74,€17K,67,75,49
28,74,€17K,68,69,58
26,74,€34K,72,74,52
25,74,€1K,90,75,65
28,74,€5K,67,86,68
26,74,€19K,91,78,61
23,74,€7K,59,44,24
27,74,€28K,80,53,58
25,74,€19K,62,62,41
34,74,€6K,46,45,19
28,74,€ 0,63,90,65
26,74,€8K,76,94,48
26,74,€27K,72,77,63
19,74,€15K,65,65,41
29,74,€37K,31,52,46
25,74,€20K,66,71,69
26,74,€18K,61,85,42
27,74,€12K,78,78,49
23,74,€32K,80,83,61
29,74,€10K,80,72,48
29,74,€44K,76,91,62
27,74,€36K,79,69,74
27,74,€12K,87,77,48
23,74,€23K,67,72,63
32,74,€44K,71,90,57
25,74,€21K,83,60,54
24,74,€18K,75,71,68
33,74,€21K,77,50,75
32,74,€28K,76,77,73
31,74,€20K,35,63,51
29,74,€25K,63,70,80
29,74,€11K,67,31,17
26,74,€11K,43,62,43
38,74,€24K,40,31,21
35,74,€20K,57,25,22
27,74,€29K,75,72,69
37,74,€4K,78,74,69
32,74,€3K,77,74,60
25,74,€42K,51,81,48
22,74,€15K,76,57,66
25,74,€10K,84,78,48
27,74,€15K,58,77,51
22,74,€19K,75,71,54
30,74,€14K,64,48,57
23,74,€22K,61,68,60
30,74,€34K,46,76,48
28,74,€9K,68,75,79
29,74,€13K,78,80,63
26,74,€34K,52,65,38
21,74,€9K,67,75,58
25,74,€17K,83,70,55
34,74,€19K,81,76,53
32,74,€15K,69,72,70
31,74,€46K,63,70,54
26,74,€12K,63,69,66
21,74,€29K,73,66,65
26,74,€46K,64,45,41
26,74,€17K,73,80,51
24,74,€33K,63,86,31
32,74,€35K,74,65,70
34,74,€11K,89,79,68
28,74,€31K,65,84,57
24,74,€1K,66,80,57
30,74,€23K,77,67,69
22,74,€12K,63,78,31
20,74,€17K,82,67,37
29,74,€35K,62,79,59
33,74,€19K,70,64,51
29,74,€ 0,43,75,51
25,74,€22K,65,65,41
24,74,€18K,72,73,50
23,74,€15K,72,76,69
33,74,€13K,30,45,67
29,74,€26K,62,69,77
27,74,€7K,73,83,69
29,74,€20K,63,60,47
27,74,€9K,76,86,67
27,74,€10K,88,65,69
33,74,€13K,72,47,71
31,74,€18K,55,55,69
32,74,€39K,45,50,51
24,74,€17K,69,76,57
26,74,€1K,70,71,53
26,74,€24K,72,76,47
30,74,€ 0,63,70,55
31,74,€1K,63,76,41
28,74,€23K,52,32,23
27,74,€10K,65,76,48
22,74,€20K,73,72,58
26,74,€22K,77,76,67
23,74,€1K,70,60,63
20,74,€10K,69,90,66
22,74,€22K,77,78,69
21,74,€19K,70,74,56
22,74,€23K,87,66,60
22,74,€1K,55,74,57
22,74,€11K,55,25,22
21,74,€10K,72,76,52
30,74,€9K,66,73,45
28,74,€1K,69,71,45
25,74,€1K,70,29,26
37,74,€25K,66,55,45
22,74,€24K,78,68,60
20,74,€25K,81,70,52
28,74,€10K,66,76,46
26,74,€39K,72,86,80
19,74,€12K,67,83,58
28,74,€24K,46,73,30
31,74,€39K,58,61,44
27,74,€35K,54,59,47
24,74,€22K,70,79,56
24,74,€32K,79,69,63
24,74,€16K,85,68,65
28,74,€29K,82,79,60
26,74,€11K,67,69,69
27,74,€1K,77,79,66
26,74,€18K,78,85,48
31,74,€43K,83,75,60
28,74,€51K,70,58,74
30,74,€27K,50,79,37
26,74,€ 0,85,77,67
30,74,€17K,65,63,70
29,74,€11K,47,34,37
26,74,€21K,79,67,59
28,74,€6K,72,91,37
32,74,€8K,85,69,71
24,74,€62K,89,49,70
22,74,€4K,90,63,70
30,74,€22K,79,72,68
27,74,€15K,76,52,49
23,74,€1K,40,64,33
27,74,€11K,81,69,64
22,74,€1K,72,72,71
30,74,€45K,77,70,79
30,74,€ 0,54,62,66
28,74,€1K,67,77,67
26,74,€24K,53,72,40
30,74,€13K,60,67,69
28,74,€10K,73,85,41
27,74,€35K,76,74,70
21,74,€14K,69,69,67
33,74,€20K,73,78,60
27,74,€45K,75,83,51
32,74,€37K,74,47,70
22,74,€35K,59,84,62
33,74,€14K,42,62,48
23,74,€56K,60,65,54
20,74,€16K,66,78,59
32,74,€17K,65,72,63
27,74,€15K,90,78,55
28,74,€55K,65,74,47
24,74,€19K,72,86,61
20,74,€15K,83,67,56
28,74,€13K,52,70,45
24,74,€1K,31,39,20
28,74,€16K,45,45,17
36,74,€11K,67,54,72
31,74,€39K,29,51,35
29,74,€41K,78,78,41
34,74,€1K,78,82,55
28,74,€48K,54,65,66
28,74,€21K,78,76,71
27,74,€20K,88,85,59
29,74,€9K,52,26,28
23,74,€ 0,89,69,46
27,74,€13K,84,82,47
24,74,€25K,77,66,70
32,74,€11K,57,91,66
28,74,€51K,62,73,61
30,74,€8K,83,77,68
19,74,€18K,76,72,44
30,74,€13K,66,83,65
24,74,€34K,71,77,73
28,74,€ 0,66,79,34
30,74,€9K,32,31,16
22,74,€33K,63,69,35
33,74,€9K,74,78,74
23,74,€15K,41,63,35
21,74,€19K,68,76,49
23,74,€38K,76,79,53
23,74,€16K,68,74,53
30,74,€56K,69,73,61
28,74,€10K,49,23,23
26,74,€7K,44,38,20
26,74,€18K,44,15,34
27,74,€20K,78,82,73
25,74,€26K,69,68,67
25,74,€31K,65,75,56
31,74,€17K,71,69,74
20,74,€59K,65,65,72
30,74,€45K,56,77,58
27,74,€18K,71,74,65
26,74,€43K,80,69,79
32,74,€8K,44,24,14
30,74,€10K,71,72,80
28,74,€10K,32,61,69
29,74,€1K,75,66,64
26,74,€14K,79,66,65
26,74,€20K,59,72,70
32,74,€8K,66,76,67
31,74,€5K,90,72,77
30,74,€15K,67,77,67
24,74,€12K,88,53,58
29,74,€5K,80,76,78
27,74,€48K,84,79,54
24,74,€14K,32,35,25
26,74,€12K,71,81,55
28,74,€29K,92,75,69
31,74,€8K,73,90,64
34,74,€16K,67,76,57
30,74,€15K,72,65,53
24,74,€18K,49,69,45
31,74,€7K,72,88,66
32,74,€16K,67,69,55
26,74,€9K,94,71,69
24,74,€30K,63,66,42
19,74,€54K,78,64,59
24,74,€20K,65,69,38
27,74,€12K,62,81,64
25,74,€4K,64,83,59
27,74,€19K,66,63,44
29,74,€12K,65,53,69
29,74,€29K,77,72,72
25,74,€3K,51,34,22
28,74,€27K,66,84,64
22,74,€12K,36,31,22
25,74,€15K,79,90,70
23,74,€30K,71,76,44
35,74,€9K,51,74,33
30,74,€40K,77,90,75
29,74,€18K,47,71,48
24,74,€20K,88,67,54
33,74,€3K,69,84,65
33,74,€9K,53,38,11
19,74,€46K,51,68,42
26,74,€ 0,79,75,70
25,74,€11K,81,80,50
26,74,€5K,21,29,19
31,74,€14K,72,61,74
26,74,€21K,80,76,48
26,74,€15K,69,72,79
31,74,€18K,52,79,40
21,74,€12K,85,86,69
23,74,€56K,77,68,42
33,74,€39K,72,63,62
28,74,€47K,82,83,40
23,74,€10K,68,72,67
28,74,€43K,64,76,42
25,74,€12K,83,67,71
29,74,€17K,85,76,40
25,74,€37K,57,63,21
24,74,€33K,72,74,45
24,74,€1K,71,75,38
25,74,€16K,76,91,48
28,74,€20K,85,78,58
26,74,€26K,44,66,60
22,74,€29K,85,73,69
30,74,€21K,72,32,76
21,74,€11K,88,87,62
34,74,€1K,50,63,67
22,74,€23K,50,53,44
19,74,€8K,80,69,49
27,74,€13K,55,62,45
30,74,€17K,65,68,67
27,74,€11K,45,32,19
28,74,€18K,74,79,67
28,74,€20K,33,65,42
34,74,€15K,73,75,67
26,74,€46K,73,77,54
22,74,€13K,82,76,65
26,74,€15K,44,65,68
22,74,€43K,80,67,63
25,74,€13K,39,43,19
21,74,€15K,76,76,53
30,74,€8K,72,90,67
29,74,€18K,54,70,45
33,74,€11K,79,78,71
29,74,€10K,75,89,59
25,74,€24K,82,71,60
21,74,€9K,67,75,39
30,74,€7K,37,62,39
25,74,€18K,62,67,67
35,74,€39K,56,39,20
32,74,€11K,71,69,45
25,74,€26K,75,90,45
27,74,€18K,78,85,66
32,74,€10K,66,67,49
33,74,€8K,61,72,67
33,74,€5K,75,72,79
30,74,€14K,48,81,54
25,74,€1K,77,67,66
21,74,€23K,47,75,38
28,74,€26K,71,86,72
33,74,€61K,52,54,45
24,74,€35K,82,86,61
37,74,€4K,62,69,40
23,74,€22K,78,79,46
30,74,€19K,52,36,25
29,74,€20K,39,55,23
34,74,€1K,44,24,22
30,74,€9K,68,85,45
33,74,€20K,62,67,57
27,74,€19K,66,77,43
23,74,€8K,55,75,38
21,74,€8K,66,68,40
27,74,€15K,83,73,69
28,74,€46K,82,72,58
20,74,€28K,83,70,56
30,74,€38K,86,74,63
23,74,€33K,79,58,59
32,74,€34K,38,30,22
33,74,€13K,30,70,43
30,74,€7K,79,79,69
25,74,€11K,77,69,70
24,74,€21K,73,72,54
28,74,€20K,67,80,58
26,74,€11K,48,29,21
28,74,€41K,80,80,64
23,74,€32K,75,83,65
30,74,€22K,55,74,67
29,74,€12K,81,72,73
28,74,€22K,77,79,63
26,74,€11K,74,67,76
24,74,€9K,78,76,59
26,74,€23K,62,70,50
27,74,€37K,79,72,75
34,73,€17K,46,50,39
31,73,€39K,68,67,72
28,73,€12K,68,81,57
26,73,€11K,74,64,69
28,73,€10K,91,72,67
23,73,€31K,78,68,55
31,73,€11K,72,88,44
20,73,€26K,50,82,49
30,73,€23K,80,61,68
33,73,€8K,63,81,58
30,73,€44K,53,54,67
31,73,€11K,52,53,50
24,73,€10K,45,37,30
31,73,€8K,52,60,64
38,73,€10K,37,23,24
26,73,€12K,78,79,60
26,73,€33K,60,76,41
34,73,€9K,71,75,64
23,73,€10K,62,63,54
34,73,€22K,65,69,40
32,73,€8K,76,73,49
24,73,€7K,77,84,51
29,73,€7K,82,91,55
35,73,€9K,30,46,46
31,73,€5K,49,66,48
32,73,€7K,63,38,14
23,73,€8K,59,77,49
24,73,€18K,91,79,54
22,73,€51K,57,68,31
24,73,€46K,67,72,72
23,73,€11K,89,75,59
27,73,€12K,56,74,25
28,73,€12K,58,66,63
29,73,€14K,67,92,45
26,73,€19K,84,65,71
18,73,€10K,86,64,58
21,73,€19K,75,92,42
23,73,€10K,71,85,55
24,73,€15K,85,78,61
30,73,€12K,34,32,24
31,73,€31K,33,34,72
29,73,€40K,66,76,66
37,73,€7K,72,67,80
29,73,€12K,51,68,31
28,73,€14K,69,55,76
25,73,€8K,45,32,26
32,73,€24K,32,39,50
34,73,€12K,81,67,68
27,73,€9K,72,75,63
28,73,€8K,79,87,39
26,73,€ 0,83,48,56
32,73,€12K,81,85,62
32,73,€16K,61,79,80
29,73,€34K,73,77,74
24,73,€3K,69,79,36
28,73,€37K,61,72,40
25,73,€25K,83,78,68
28,73,€11K,59,76,72
23,73,€7K,76,81,59
27,73,€15K,34,66,68
26,73,€10K,43,38,16
35,73,€12K,62,73,46
28,73,€6K,69,64,68
31,73,€20K,79,67,63
30,73,€31K,69,88,52
30,73,€19K,38,20,19
24,73,€13K,68,72,57
36,73,€20K,70,52,77
26,73,€20K,40,31,13
28,73,€18K,84,68,77
31,73,€1K,72,78,57
25,73,€46K,77,77,61
25,73,€20K,65,68,63
26,73,€21K,68,79,55
30,73,€12K,81,75,62
31,73,€ 0,74,72,46
27,73,€19K,73,67,66
20,73,€33K,85,70,58
26,73,€27K,63,74,43
28,73,€18K,75,74,61
21,73,€8K,78,75,59
29,73,€6K,67,81,58
26,73,€13K,70,81,34
26,73,€ 0,74,83,55
28,73,€31K,65,67,71
30,73,€7K,80,75,48
21,73,€31K,75,65,55
25,73,€43K,68,73,62
28,73,€1K,65,70,57
27,73,€8K,91,75,67
27,73,€8K,76,84,66
32,73,€15K,34,56,65
30,73,€17K,67,70,30
26,73,€31K,72,87,38
24,73,€14K,75,83,66
23,73,€14K,76,72,67
23,73,€14K,61,73,37
34,73,€31K,34,53,47
28,73,€28K,88,66,69
27,73,€36K,78,80,40
30,73,€11K,57,72,51
39,73,€4K,31,39,27
27,73,€25K,41,71,46
29,73,€26K,76,82,57
32,73,€31K,62,76,63
26,73,€28K,81,90,61
25,73,€14K,81,71,66
22,73,€11K,77,81,58
26,73,€41K,63,84,59
37,73,€2K,60,34,63
22,73,€18K,76,77,58
30,73,€6K,48,66,60
25,73,€35K,60,55,75
27,73,€26K,63,44,19
28,73,€23K,79,86,42
29,73,€15K,68,75,45
25,73,€10K,71,68,70
28,73,€1K,75,71,59
28,73,€31K,81,75,75
31,73,€ 0,59,72,75
18,73,€12K,65,63,62
24,73,€13K,55,38,26
27,73,€8K,86,81,51
27,73,€10K,67,77,48
30,73,€11K,62,68,65
25,73,€34K,78,78,67
26,73,€21K,71,79,67
24,73,€15K,79,80,55
26,73,€1K,61,77,40
27,73,€22K,78,75,57
28,73,€25K,77,74,51
26,73,€14K,74,78,68
29,73,€40K,62,67,49
29,73,€11K,85,78,69
30,73,€26K,63,85,70
22,73,€21K,80,73,70
23,73,€10K,92,71,70
21,73,€30K,53,25,22
19,73,€10K,75,78,38
31,73,€9K,61,72,59
31,73,€7K,31,42,20
28,73,€13K,73,64,79
21,73,€33K,80,69,58
27,73,€20K,63,69,39
26,73,€16K,80,79,57
35,73,€13K,71,60,73
25,73,€6K,74,83,54
22,73,€17K,65,76,44
23,73,€27K,86,72,59
21,73,€2K,73,76,50
25,73,€24K,58,68,65
20,73,€29K,73,73,65
29,73,€7K,55,74,46
29,73,€6K,82,84,74
26,73,€8K,75,87,47
32,73,€4K,81,71,53
29,73,€34K,67,83,54
25,73,€16K,60,68,43
26,73,€19K,75,73,74
30,73,€15K,63,71,71
26,73,€37K,86,70,68
28,73,€8K,79,68,80
32,73,€22K,66,79,66
32,73,€18K,79,71,72
21,73,€35K,88,68,60
32,73,€7K,77,80,53
26,73,€17K,70,74,55
33,73,€15K,31,76,59
24,73,€10K,49,73,34
31,73,€15K,66,72,70
33,73,€15K,56,60,63
27,73,€16K,48,84,38
31,73,€11K,53,54,48
32,73,€8K,66,64,40
27,73,€4K,71,74,65
25,73,€18K,69,73,52
34,73,€5K,60,86,75
32,73,€8K,68,72,62
26,73,€24K,67,75,50
19,73,€12K,64,68,43
27,73,€19K,69,92,60
29,73,€16K,70,78,58
31,73,€14K,64,73,75
26,73,€13K,71,83,58
20,73,€7K,61,69,41
33,73,€14K,72,72,70
26,73,€24K,54,65,34
28,73,€5K,82,78,79
22,73,€26K,68,83,58
34,73,€17K,47,31,18
26,73,€18K,81,71,58
27,73,€17K,90,90,60
21,73,€52K,78,64,56
29,73,€15K,62,77,72
21,73,€26K,69,67,42
30,73,€35K,56,66,66
27,73,€10K,33,43,21
32,73,€13K,69,54,73
25,73,€16K,69,57,73
28,73,€18K,76,84,39
27,73,€14K,34,25,23
25,73,€7K,76,69,67
28,73,€11K,76,86,37
33,73,€26K,66,60,60
31,73,€20K,53,32,42
21,73,€22K,71,76,48
34,73,€19K,70,80,82
29,73,€15K,64,80,68
27,73,€34K,66,91,65
27,73,€1K,72,83,39
30,73,€6K,63,35,18
27,73,€7K,86,79,61
37,73,€9K,64,67,58
30,73,€8K,37,42,22
24,73,€9K,69,65,64
21,73,€16K,61,69,48
40,73,€6K,38,19,72
23,73,€19K,60,73,51
35,73,€6K,69,68,74
29,73,€22K,75,90,64
24,73,€25K,91,74,56
24,73,€7K,81,69,67
32,73,€ 0,28,30,13
29,73,€17K,42,76,30
25,73,€6K,90,81,70
19,73,€9K,81,78,54
28,73,€9K,72,74,70
23,73,€1K,81,55,66
27,73,€36K,57,66,32
35,73,€30K,30,30,23
23,73,€17K,50,69,44
27,73,€9K,50,73,39
22,73,€14K,67,67,54
24,73,€11K,67,68,35
30,73,€10K,90,75,65
30,73,€17K,48,36,42
27,73,€16K,72,62,64
37,73,€6K,71,61,75
20,73,€9K,76,65,69
29,73,€12K,70,71,74
23,73,€25K,88,64,48
31,73,€11K,70,72,67
24,73,€19K,72,79,46
29,73,€8K,59,69,64
25,73,€ 0,84,86,43
33,73,€9K,65,68,70
27,73,€14K,93,69,54
32,73,€25K,38,28,20
32,73,€19K,65,70,44
32,73,€25K,73,87,36
29,73,€23K,76,72,63
25,73,€20K,32,57,40
28,73,€1K,81,68,68
27,73,€19K,72,79,50
28,73,€13K,84,71,73
27,73,€17K,74,90,65
25,73,€26K,75,79,59
29,73,€41K,70,80,62
30,73,€17K,71,70,66
28,73,€7K,84,81,68
25,73,€5K,38,79,39
32,73,€11K,79,72,53
34,73,€23K,81,67,56
28,73,€17K,61,72,36
22,73,€19K,81,75,50
25,73,€16K,72,82,58
29,73,€4K,92,67,65
34,73,€21K,61,79,58
31,73,€13K,71,75,52
21,73,€15K,81,80,63
20,73,€18K,91,62,65
28,73,€28K,33,39,21
30,73,€38K,68,67,49
27,73,€22K,87,69,72
33,73,€12K,58,41,23
29,73,€4K,73,87,45
29,73,€11K,60,77,64
27,73,€8K,45,65,47
26,73,€9K,86,72,60
30,73,€25K,67,67,72
26,73,€15K,65,71,70
31,73,€4K,62,53,65
27,73,€12K,36,65,40
26,73,€25K,68,67,76
32,73,€14K,67,83,49
26,73,€36K,61,63,33
26,73,€15K,35,45,23
22,73,€34K,71,82,72
27,73,€14K,73,79,67
25,73,€1K,68,70,63
27,73,€7K,94,79,59
20,73,€9K,55,71,43
26,73,€10K,71,76,61
20,73,€9K,77,73,59
29,73,€9K,68,74,59
28,73,€10K,72,73,66
25,73,€12K,72,91,54
23,73,€34K,82,84,51
18,73,€36K,86,70,44
23,73,€12K,75,83,49
31,73,€12K,75,79,57
26,73,€16K,51,69,40
25,73,€32K,38,22,20
25,73,€26K,69,71,68
24,73,€11K,74,73,64
34,73,€13K,51,41,13
30,73,€41K,69,86,63
34,73,€10K,49,78,63
31,73,€ 0,67,66,76
20,73,€2K,69,39,23
28,73,€15K,67,83,36
32,73,€6K,62,63,32
29,73,€33K,57,67,73
34,73,€13K,70,85,51
25,73,€20K,70,84,72
31,73,€33K,72,72,38
30,73,€7K,72,74,43
23,73,€22K,66,63,67
30,73,€1K,71,72,65
27,73,€35K,44,68,60
23,73,€12K,83,60,61
26,73,€29K,88,74,69
30,73,€21K,79,56,56
25,73,€17K,78,72,62
28,73,€26K,50,87,44
23,73,€14K,85,83,59
25,73,€14K,78,71,67
23,73,€10K,45,57,35
23,73,€20K,73,72,49
24,73,€27K,35,20,16
25,73,€1K,52,70,39
20,73,€32K,72,72,69
19,73,€21K,46,72,30
34,73,€29K,59,43,72
33,73,€17K,58,25,31
37,73,€4K,64,31,23
32,73,€13K,80,72,48
26,73,€12K,34,72,24
26,73,€17K,73,78,46
23,73,€14K,87,64,60
26,73,€4K,71,92,44
31,73,€13K,77,68,74
23,73,€13K,67,76,31
26,73,€24K,59,86,74
34,73,€9K,68,43,25
30,73,€18K,68,77,50
26,73,€11K,50,30,30
23,73,€19K,71,77,49
23,73,€11K,73,91,67
33,73,€5K,71,58,85
25,73,€11K,66,69,64
30,73,€10K,73,69,80
26,73,€12K,48,17,13
27,73,€1K,62,60,50
22,73,€32K,61,67,44
25,73,€36K,91,80,67
29,73,€16K,83,70,70
29,73,€22K,77,66,67
28,73,€18K,74,78,64
24,73,€8K,75,65,66
21,73,€21K,78,74,69
33,73,€29K,70,78,49
28,73,€14K,69,72,56
34,73,€8K,57,54,76
25,73,€27K,73,77,45
28,73,€2K,83,69,47
27,73,€20K,62,88,50
21,73,€1K,50,72,35
25,73,€22K,82,72,48
22,73,€15K,76,77,61
33,73,€5K,37,30,35
24,73,€14K,52,71,60
31,73,€15K,39,36,21
28,73,€19K,82,85,53
27,73,€32K,66,75,60
28,73,€21K,66,77,51
27,73,€23K,69,66,69
29,73,€14K,47,75,59
28,73,€13K,55,78,54
30,73,€ 0,38,55,23
21,73,€21K,67,69,66
25,73,€34K,56,72,34
27,73,€16K,59,75,70
31,73,€26K,55,67,73
24,73,€15K,72,66,49
21,73,€13K,70,80,50
20,73,€9K,65,74,42
30,73,€4K,56,64,47
22,73,€13K,68,67,39
32,73,€8K,69,66,63
30,73,€9K,65,74,51
23,73,€12K,85,69,54
23,73,€12K,84,91,68
25,73,€6K,67,68,72
28,73,€ 0,75,77,66
28,73,€28K,54,34,43
33,73,€8K,68,78,64
25,73,€8K,63,54,40
22,73,€51K,55,73,57
29,73,€6K,46,33,22
24,73,€16K,82,74,57
32,73,€5K,79,64,68
24,73,€17K,34,67,40
23,73,€6K,88,73,52
29,73,€14K,48,79,72
29,73,€16K,75,61,65
30,73,€1K,80,75,48
22,73,€2K,44,30,21
28,73,€40K,82,59,74
26,73,€29K,82,83,62
22,73,€34K,68,62,68
25,73,€6K,70,78,39
32,73,€1K,48,66,74
21,73,€26K,78,59,71
32,73,€20K,66,74,72
29,73,€19K,63,79,55
